Experiment Information,,,,
Timestamp,20260115_172147,,,
Model,llama3.1:8b,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4308,0.5082,0.4689,42
Axis,0.3846,0.3440,0.3393,25
Sub-Axis,0.1739,0.1631,0.1361,10
Hierarchical Axis,0.2767,0.2700,0.2457,0
Polarity,0.5616,0.6285,0.6217,41
Intensity,0.2203,0.1983,0.1824,13
Context,0.4211,0.4416,0.4304,28
Perfect Match,0.0374,0.0333,0.0200,2
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.4000,0.4667,0.4308
Entity,Macro,0.5908,0.5175,0.5082
Entity,Weighted,0.5697,0.4667,0.4689
Axis,Micro,0.2841,0.5952,0.3846
Axis,Macro,0.3162,0.4286,0.3440
Axis,Weighted,0.3037,0.4500,0.3393
Sub-Axis,Micro,0.1370,0.2381,0.1739
Sub-Axis,Macro,0.1522,0.2024,0.1631
Sub-Axis,Weighted,0.1247,0.1722,0.1361
Hierarchical Axis,Micro,0.4167,0.2071,0.2767
Hierarchical Axis,Macro,0.3155,0.2563,0.2700
Hierarchical Axis,Weighted,0.3111,0.2235,0.2457
Polarity,Micro,0.3942,0.9762,0.5616
Polarity,Macro,0.5874,0.7381,0.6285
Polarity,Weighted,0.5681,0.7778,0.6217
Intensity,Micro,0.1711,0.3095,0.2203
Intensity,Macro,0.1878,0.2262,0.1983
Intensity,Weighted,0.1660,0.2333,0.1824
Context,Micro,0.3077,0.6667,0.4211
Context,Macro,0.4194,0.5119,0.4416
Context,Weighted,0.4037,0.5167,0.4304
Perfect Match,Micro,0.0308,0.0476,0.0374
Perfect Match,Macro,0.0317,0.0357,0.0333
Perfect Match,Weighted,0.0185,0.0222,0.0200
