Experiment Information,,,,
Timestamp,20260112_153033,,,
Model,gpt-4o-mini,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4870,0.5217,0.5355,47
Axis,0.5390,0.4888,0.5518,38
Sub-Axis,0.3906,0.3426,0.3752,25
Hierarchical Axis,0.4791,0.4055,0.4319,0
Polarity,0.5694,0.5594,0.5877,41
Intensity,0.4741,0.4546,0.5144,32
Context,0.4964,0.4404,0.4507,34
Perfect Match,0.1930,0.1466,0.1408,11
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.4563,0.5222,0.4870
Entity,Macro,0.5798,0.5234,0.5217
Entity,Weighted,0.6078,0.5222,0.5355
Axis,Micro,0.4043,0.8085,0.5390
Axis,Macro,0.4448,0.6190,0.4888
Axis,Weighted,0.4911,0.7167,0.5518
Sub-Axis,Micro,0.3086,0.5319,0.3906
Sub-Axis,Macro,0.3123,0.4167,0.3426
Sub-Axis,Weighted,0.3356,0.4611,0.3752
Hierarchical Axis,Micro,0.6702,0.3728,0.4791
Hierarchical Axis,Macro,0.5179,0.3651,0.4055
Hierarchical Axis,Weighted,0.5889,0.3752,0.4319
Polarity,Micro,0.4227,0.8723,0.5694
Polarity,Macro,0.5202,0.6905,0.5594
Polarity,Weighted,0.5356,0.7500,0.5877
Intensity,Micro,0.3636,0.6809,0.4741
Intensity,Macro,0.4520,0.5238,0.4546
Intensity,Weighted,0.5019,0.6167,0.5144
Context,Micro,0.3778,0.7234,0.4964
Context,Macro,0.3964,0.5476,0.4404
Context,Weighted,0.3944,0.5889,0.4507
Perfect Match,Micro,0.1642,0.2340,0.1930
Perfect Match,Macro,0.1448,0.1667,0.1466
Perfect Match,Weighted,0.1352,0.1667,0.1408
